comment,author,date,num_likes
어떻게 이렇게 웃김?,xygen o,2023-01-25T19:16:26Z,0
우재쿤못받았네 ㅜㅜ,ᄋᄋᄋ,2023-01-25T18:12:37Z,0
준빈쿤 유퀴즈 대량살포 타이밍 미춌다,셉템버,2023-01-25T17:35:42Z,0
호민쭈님은 홀쭉해지고 풍님은 펑퍼짐해지셨네요,오주찬,2023-01-25T17:20:43Z,0
이날 다들 드립 날서있는거 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Taji Mahal,2023-01-25T17:14:34Z,0
아니 이 정도 조회수면 방송3사 보다 더 권위있는 시상식 아니냐 ㅋㅋㅋㅋ,i See,2023-01-25T16:18:12Z,2
아 주펄님 너무 좋다ㅜㅜ 진짜 하는 말마다 다 재밌어 어쩜,최튤립,2023-01-25T15:30:48Z,4
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=15m30s"">15:30</a>",알새우칩,2023-01-25T14:53:22Z,0
인생의 꿀,yyy,2023-01-25T14:46:12Z,0
킹준빈 너무 멋지다,jay 2,2023-01-25T14:45:18Z,0
주우재없으니 너무 섭섭해요,09t gfl,2023-01-25T14:33:15Z,0
"아니 이번에 왜케 웃기냐<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=15m40s"">15:40</a> 쭈펄 갑자기 배우자 사랑고백<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=25m46s"">25:46</a> 또 그이야기<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=27m07s"">27:07</a> 또 그이야기2<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=28m45s"">28:45</a> 이상한 회전목마<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=29m46s"">29:46</a> 너 힙합이야<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=29m58s"">29:58</a> 가짜힙합 주펄(쇼츠각)<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=33m40s"">33:40</a> 개막말<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=37m13s"">37:13</a> 개막말2<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=41m30s"">41:30</a> 이상한 애니 꿋꿋하게 던지는 풍아저씨<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=49m55s"">49:55</a> 상반된 의견<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=54m27s"">54:27</a> 침착맨 미친 신년 애정운<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=54m45s"">54:45</a> 침착맨 신년운세 안좋아서 신난 주펄",Gie Hoeid,2023-01-25T13:41:30Z,46
Gta5마저 파괴시켜버린 주펄..,어니부기,2023-01-25T13:36:12Z,0
"준빈쓰 유퀴즈 나온 거 봤어요, 침착맨 방송과는 꽤 다른 모습에 마음이 아팠습니다, 아픈 기억은 뒤로 날리고 앞으로만 나아가길!",Thomas Choi,2023-01-25T13:35:10Z,1
디토 끝까지 부르는게 킹받네,에이씨엘,2023-01-25T13:03:20Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=50m30s"">50:30</a> 라면꼰대x 꼰대라면o",MiRi,2023-01-25T12:02:56Z,1
준빈쿤 정장에 흰색 손수건 같은건줄 알았는데 마스크였네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,호옹이,2023-01-25T11:59:16Z,0
디토는 무슨 하울링이여 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Yeon,2023-01-25T11:54:27Z,0
준빈 곽 말 진짜 잘한다,ㅇㅇ,2023-01-25T11:52:32Z,1
예전엔 무도였다면 지금은 침착맨이다,퐁퐁,2023-01-25T11:29:04Z,2
준빈쿤 옆에 당연히 안경 벗은 빠니 님인 줄..,속눈썹,2023-01-25T10:20:29Z,0
마지막 아이돌 노래부르는 군장병들 재현까지 완벽!,현현,2023-01-25T09:43:43Z,0
주풍 ㅋㅋㅋ,가영정,2023-01-25T09:42:39Z,0
마지막 3분을 위한 55분짜리 영상,Yu K,2023-01-25T09:41:38Z,0
곽준빈님은 진짜 목소리톤이 배우같다,박준영,2023-01-25T09:20:34Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=50m15s"">50:15</a> 선율보다 더 선율",캉캉,2023-01-25T09:09:19Z,0
"한동규조커 조커분장 벗으니 잘생겼잖아,,?",킹나무,2023-01-25T09:07:50Z,2
ㅋㅋㅋ,잭스를알려주겠다,2023-01-25T08:50:55Z,0
