comment,author,date,num_likes
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=55m52s"">55:52</a> 뉴침스 - Ditto",Vitale,2023-01-24T16:49:35Z,1
와 근데 이 아재 삼총사 진짜 독하다 ㅋㅋㅋ준빈쿤따위 다크하다고 명함도 못 내민다 ㅋㅋ,강승구,2023-01-24T16:47:36Z,0
준빈쿤과 방장의 투샷은 너무 폭력적이네요...🥲 준빈쿤  응원 합니다💪,walkfavor,2023-01-24T16:45:30Z,0
인트로는 당연히 주펄 애국가제창인줄 알았는데 ㅋㅋ,O J,2023-01-24T16:42:11Z,1
곽튜브는 진짜 치트키다..,ㅋㅈㅅ,2023-01-24T16:41:01Z,1
오늘 방송 너무재밌노,김동근이다 씨발놈들아,2023-01-24T16:36:26Z,0
주우재는 왜 없나유,소정,2023-01-24T16:35:54Z,0
근손실영어ㅋㅋㅋ,kujo kujo,2023-01-24T16:34:28Z,1
쪼커피디님 웃참하는거 개웃기네 ㅋㅋㅋㅋ,유남생,2023-01-24T16:32:43Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=35m10s"">35:10</a>",yojou,2023-01-24T16:29:20Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=39m13s"">39:13</a> 진짜 맞는게 유튜브건 웹툰이건 초창기에 나온 것들은 퀄이 방송국이나 출판만화만 못해도 정말 재밌고 애착가는데 오히려 이 시장이 궤도에 오르고 나서 퀄이 기존 메이저 매체처럼  엄청 올라가고,역으로 주류들이 이쪽으로 진출했는데도 새로운 컨텐츠에 정을 주기가 더 어려움..",강승구,2023-01-24T16:23:46Z,11
유튜브 트렌드에 대한 혜안도 등장하는 와중에 진짜 개쳐웃기네 ㅋㅋㅋㅋㅋㅋ 독호민 곽준빈 폼 미쳤다,woo179,2023-01-24T16:22:08Z,1
원박가서 보세요 여러분 개꿀잼입니다,홍시,2023-01-24T16:16:08Z,0
준빈이형 잘생겼는데??😏😏,Un141 Y,2023-01-24T16:05:07Z,1
침착맨에서 우마 나올 정도면 이제 구독자인거 숨기지 않아도 되는거지?,Barkhan,2023-01-24T16:05:01Z,0
숨겨!,KAY,2023-01-24T16:24:57Z,0
준빈쿤이랑 생년월일 다 다른데 왜 운세가 똑같냐...,Won Jin Lee,2023-01-24T16:03:59Z,1
디토 미치겠네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,yoda,2023-01-24T16:01:12Z,2
아 부두술디토 너무웃긴데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅜㅜㅜㅜㅜㅜㅜ,hyunney,2023-01-24T15:58:23Z,2
김풍선생님 턱시도 입으니까 약간 정우성 느낌 남 ㅋㅋㅋㅋㅋㅋㅋㅋ 멋있어요,김기주,2023-01-24T15:57:46Z,0
준빈쿤 컨텐츠 연구 엄청 열심히 했나부다잉,유투브프리미엄,2023-01-24T15:54:56Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=00m56s"">00:56</a> 준빈쿤 폼 미쳤다ㅋㅋㅋㅋㅋ",서하민,2023-01-24T15:46:52Z,7
준빈오빠 사랑해,GYU SA,2023-01-24T15:43:17Z,2
애국가 제창이 빠졌네 ㄲㅂ,jan0114,2023-01-24T15:41:44Z,0
마지막 개욱기네,itree u,2023-01-24T15:40:03Z,0
디토 너무 무섭다 …. 꿈에 나올까 두려워요 😅😅,Eunzin Ahn,2023-01-24T15:37:54Z,0
편집 ㄹㅇ 미쳤음 1~2초를 짤라서....,전문기사,2023-01-24T15:31:25Z,0
풀버젼 이미 봐서 볼까말까 고민 하다가 <br>또 보는 내가 레전드 먼가 압축판은 <br>또 다른맛이 난단 말이야 ㅋㅋㅋ,부장아재해돌쿤,2023-01-24T15:30:34Z,3
엔딩곡 누가 오토튠좀 만져주라,주차뿔라,2023-01-24T15:27:09Z,0
곽준빈 보조개 귀엽다고 생각해버렸어!!,ㅅㅇ,2023-01-24T15:21:55Z,0
궤도랑 근처 살아서 영화 자주 보는 침착맨... TMI 감사하다...,Dominic,2023-01-24T15:20:05Z,0
그건 전무님,바를정,2023-01-24T16:09:28Z,2
준빈쿤 귀엽네,두돧둗,2023-01-24T15:19:32Z,0
어쩐지 방장빼고 다 진심인것같은 복장이잖아 ㅋㅋㅋㅋㅋㅋ,황석현,2023-01-24T15:18:10Z,0
전무님 진짜 숨차보임ㅋㅋㅋㅋㅋㅋㅋ,레몬 김,2023-01-24T15:17:49Z,0
아개웃기다...,꽤웃겨,2023-01-24T15:17:48Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=4m52s"">4:52</a> 침부투",오메가쓰리,2023-01-24T15:17:34Z,2
너무 재밌었다 ㄹㅇ,zzgun,2023-01-24T15:16:31Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=28m25s"">28:25</a>",뿅뿅,2023-01-24T15:16:08Z,0
"이게 주펄 재즈애국가가 빠졌다고,,, 근데 잘 빼긴 한듯 ㅋㅋㅋㅋ 그래도 제발 생방 못본분들은 즉시 침원박으로 달려가 보시길.. 후회 없습니다",밍키야가라,2023-01-24T15:09:32Z,0
Sofa좌도 하나 수상받을 줄 알았는데..,신현종,2023-01-24T15:09:23Z,2
생방때 마지막 노래에 침흘리면서 봤습니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개웃겨 미친ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,T eo,2023-01-24T15:05:47Z,20
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=1h00m00s"">1:00:00</a>",사마,2023-01-24T15:02:52Z,0
디토 피디님들까지 끝까지 다 부르시는게 진짜 더 웃기닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,나의 서른하나,2023-01-24T15:02:34Z,36
침투부 너무 좋아,이겨내자,2023-01-24T15:01:49Z,0
