comment,author,date,num_likes
"@EAHCNUE토트넘이야 당장 성적내야 되니까 콘테의 전술이 리스크를 최고로 줄여주는 방법이라곤 생각함. 아스날처럼 다루나 무스타피 데리고 라인 올리는 미친 짓은 안 할테니 ...<br><br>다만 콘테에게 의문이 드는 점은 시즌 초부터 챔스에서 토너먼트 하위권팀들이 하듯이 전략을 짜왔다는 거임. <br>수비라인 미친듯이 뒤로 무르고 버스 세우면서 상대에게 공격하라고 미끼 주고 역습하는 거 ㅋㅋ  첫경기 울브스 홈 경기부터 이랬었음.<br>이 게 시즌 말까지 갈 수 있는 전술이냐? 리스크는 줄여놨지만 의구심이 너무 들었고 이런 전술 쓰려고 체력훈련 빡세게 하고 선수 모자라다고 하는 건가? 하는 게 이해가 안 갔음. 애초에 이런 전술은 공격,미드진 체력 소모가 심해서 여름에 콘테가 왜 공격진부터 샀는지 지금 보면 이해가 감. 걍 그런 축구하려고 영입 전략,시즌 전술을 세운 거.<br><br>그렇다고 지금 공격 세부전술이 있냐? 하면 없다는 거. 사이드랑 중앙에서 공격 시퀀스를 가져가질 않음. <br>지금 윙백 퀄리티 타령하는 이유는 걍 윙백이 다 해줘야 하는 축구라 ㅋㅋ<br>보면 공격 나갈 때 사이드 자원까지 박스 안으로 붙음. 근데 이 상황에서 윙백이 공격 풀어줘야 한다는 거 . 윙백이 수비도 해야 되고 공격시퀀스도 없어가지고 아이솔을 얘네가 해줘야 됨ㅋㅋ <br>근데 윙백이 아이솔 개인전술이 될 리가 만무하고 안 되니까 얘네도 할 수 있는 게 걍 라인 타고 달리다가 크로스 올리는 거 밖에 없음 ㅋㅋ",하핫촤,2023-01-27T14:57:19Z,0
콘테 전술은 상대팀에 상관없이 항상똑같음<br>똑같은 선수에 똑같은전술.<br>상대팀에서 그 뻔한 전술 예상해서 다 준비해옴<br>근데 콘테는 자기전술 파악되어 팀이 개판이 되어도 <br>초지일관 똑같은 선수그대로  90분 다돌림<br>그냥 서서 선수들보고 고함만 지름.<br>전술 보담 경기중 고함지르는 감독 콘테 하나밖에 없음.<br>어데 응원하는 학부모 같은 감독임.,sjdlek H,2023-01-27T14:51:14Z,0
@하핫촤 포텐 좋은 선수들이 맞습니다만.. 본인 입맛에 맞는 선수들 위주로 영입해주면서도 부임 초반 몇시즌동안 부진해도 신뢰해주는 프런트가 있었으니 그동안 탱킹하면서 시스템을 갖춘건데 콘테랑은 상황이 전혀 다릅니다.,EAHCNUE,2023-01-27T14:39:15Z,0
"콘테가 무능한거지.<br>수비수 구할때도 항상 발 빠른 선수보담, <br>그냥 왼발 크로스 올릴줄 아는 리빌딩 만 찾으니.<br>선수를 영입 할려면  자신의전술에맞는 선수를 데재로 영입하듡, <br>아니면 있는 선수자원을 활용해서 전술을 짜야 하는데,<br>콘테는이것도 저것도 아님.<br>모든 팀한테 중원에서 처발림.<br>역습 카운터 노리는 약팀 빼고는.<br>또 그런 팀은  횡으로만 패스질 함.<br>전술 자체가 없음.<br>그냥 크로스질만 하다가  <br>헤딩골 얻어걸리면 다행이고 아니면 지는거지<br>그러니 매경기 경기력이 답답한거지.<br>그런 콘테가무슨 명장이냐.<br>그냥 똥장이지.<br>토튼넘 콘테부터  짤라야 함.<br>윙백 전술에 윙백이 쓸만하냐.<br>크로스 전술에 헤딩결정력있는 선수가 케인말고없는데<br>진짜 콘테는징징거리는거 말고는 <br>할줄 아는게 아무것도 없는 돌머리 같음.<br>왼쪽 수비수가 왼발로 반방향으로 길게 크로스 올려뵈야,<br>그냥 허당 로얄인데  <br>그냥 수비나 잘하는선수 구하지.<br>무슨 빌더업 타령인지.",sjdlek H,2023-01-27T14:35:41Z,0
@Khwan goh 포치 빼고 다 버스 세워놓고 지역수비만 하는 감독들 아니냐 ㅋㅋ <br>(메이슨은 걍 논외로 하고) <br>압박이란 게 구상에 없는 애들 같은데,하핫촤,2023-01-27T14:14:52Z,1
상대팀이 페널티까지 너무나도 쉽게 들어옴. 분석대로 미드필더진이 없음. 그러니 손흥민을 미끼로 쓰고 수비하라고 윽박질.,leaders js,2023-01-27T13:32:56Z,2
이게 현대 축구의 기본중에 기본인데...콘테는 이게 문제 인지도 모르고...어떻게 조직화하는지 자체를 모르는것 같음.<br>압박과 간격은 선수 퀄리티가 필요 없음.<br>그냥 뛰어다닐줄만 알면되니깐..<br>그래서 중하위권 팀도 잘조직화해서 상위권팀한테 잘 압박을 할수 있는건데...토트넘은 진짜 한심할 수준으로 아무것도 준비가 안되어 있음...<br>장신력 타령이나 하고 있고...진짜 컨테는 퇴물중에 상퇴물임...<br>전술능력 제로인 감독만 콕 찝어서 계속 선임하는 토트넘 보드진은 더 경이롭고..,구름솜이 GooReum&Som,2023-01-27T13:29:43Z,6
"콘테가 그걸 모를까요?<br>선수 경력은 물론 감독 경력도 엄청 긴데?<br>수비라인을 올릴 수 없다는 약점을 알고 있기 때문에 콘테 감독은 적극적인 전방압박 전술을 할 수가 없습니다.<br>콘테가 바스토니 사달라고 그렇게 조른 것도(문제는 바스토니 개인이 이적하기 싫어한다는 것) 가운데 수비수인 다이어가 최후방 수비수로 낮게 형성되어 있어도 바스토니, 로메로 선에서 전방압박이 가능하고 뒷공간 노출도 줄어들꺼라 판단했기 때문일 겁니다.<br>풀백 출신인 벤데이비스를 왼쪽 중앙수비수로 임시방편으로 두었는데 풀백때와 비해서 속도가 현저히 줄었다보니 느리더라도 그나마 벤데이비스보다 빌드업 능력이라도 좋은 랑글레 임대라도 한 거구요.<br>문제는 토트넘 구단주 자체가 수비수에 대한 큰 투자를 꺼리는 것 같습니다. 맨시티, 리버풀, 맨유, 아스날 모두 좋은 수비수 영입에 힘쓰는 것과 대조적이죠.<br>콘테는 자신이 원하는 선수를 100%영입을 했을 때 전술적 능력이 뛰어난 감독입니다. 구단에서 어느정도 지원을 하긴 했지만 이번 시즌 그렇게 좋은 영입을 하진 못했습니다.",애플파이,2023-01-27T14:08:42Z,0
이런애들은 왜 때만되면 나타나는거임?ㅋ,Khwan goh,2023-01-27T14:06:50Z,0
"토트넘 보드진에게 말해~ 니가 콘테보다 더 나으니 연봉 1,300만 파운드에 팀을 너에게 맡기라고.",lee cl,2023-01-27T14:02:09Z,0
